OBJECT_ID,CENTROID // MEAN_X_(PX),CENTROID // MEAN_Y_(PX),TIMEPOINT,INTENSITY // RawImage_MEAN,SHAPE // AREA_(PX^2)
1,24,499,0,34061.72464,69
2,44,581,0,33106.98446,193
3,51.20972644,516.325228,0,33761.68693,329
4,76.46412556,464.4147982,0,33698.22197,446
5,114,523,0,33975.4623,305
6,121.2033493,467.5956938,0,33847.26077,418
7,166,568,0,33848.5082,305
8,169,33,0,33351.73333,45
9,188,499,0,33068.2,145
10,191.629108,21.55868545,0,33306.55869,213
11,193,598,0,33856.78238,193
12,222,483,0,33085.53414,249
13,246,279,0,33889.20884,249
14,250,44,0,33328.96787,249
15,278.5,300.5,0,33874.57108,408
16,277,671,0,33101.31193,109
17,327.090535,307.4814815,0,33151.47737,243
18,354,462,0,33992.3945,109
19,359.0036364,295.1563636,0,33159.48,275
20,360.8190476,145.3269841,0,33455.10159,315
21,361,437,0,33599.41969,193
22,383,638,0,34035.91968,249
23,391,676,0,33896.47213,305
24,409,169,0,33843.50164,305
25,463.0488432,181.8971722,0,34287.73779,389
26,489,450,0,33774.29016,193
27,512.747449,160.2729592,0,34298.26531,392
28,526,437,0,33789.21379,145
29,681.1377871,20.93319415,0,33912.93111,479
30,761,375,0,33087.11034,145
31,780,351,0,33086.4,145
32,809,202,0,34051.2487,193
33,835,218,0,34277.15663,249
34,876,509,0,33080.55072,69
35,907,501,0,33074.69565,69
36,917,231,0,33244.02752,109
37,933,554,0,33905.10881,193
38,939,244,0,33250.93264,193
39,956,182,0,34118.36552,145
40,959,218,0,34069.78756,193
41,969,556,0,33871.28966,145
42,1023,395,0,34034.93976,249
43,1042,408,0,33966.49655,145
44,25,495,1,34052.37681,69
45,44,581,1,33118.20725,193
46,55.96042216,513.0079156,1,33789.781,379
47,76.59299191,461.2237197,1,33896.51752,371
48,114,523,1,34080.27213,305
49,118,468.5,1,33935.66915,402
50,166,572,1,33925.10492,305
51,168,32,1,33395.35556,45
52,182,497,1,33086.95172,145
