OBJECT_ID,CENTROID // MEAN_X_(PX),CENTROID // MEAN_Y_(PX),TIMEPOINT,SHAPE // PROJ_AREA_(PX^2),TRACK_ID
1091,394,286,46,1649,5
1092,503.5,324,46,1556,6
1093,566,28,46,1789,3
1094,827,177.5,46,1694,4
1095,886.3847607,763.6152393,46,1588,9
1096,893.5,709,46,1694,8
1097,255.8598726,73.63619333,47,2669,2
1098,395,286.5,47,1694,5
1099,504,323,47,1771,6
1100,566,28,47,1789,3
1101,827,178,47,1739,4
1102,877.9550085,754.5050934,47,2356,9
1103,891.5,709,47,1694,8
1104,396,287,48,1739,5
1105,501,326,48,1513,6
1106,566,28,48,1789,3
1107,827,176.5,48,1694,4
1108,861.994575,758.0241109,48,1659,9
1109,880.4956772,703.0115274,48,1735,8
1110,564,29,49,1789,3
1111,803,758,49,609,9
1112,827,175.5,49,1694,4
1113,845.8692098,748.8537693,49,1101,8
1114,564,29,50,1789,0
1115,579,552.5,50,1410,0
1116,617.7109544,723.2814534,50,1844,0
1117,653,607,50,1649,0
1118,708,487,50,1739,0
1119,742.5,941,50,1694,0
1120,823.5,175,50,1694,0
1091,394,286,46,1649,5
1092,503.5,324,46,1556,6
1093,566,28,46,1789,3
1094,827,177.5,46,1694,4
1095,886.3847607,763.6152393,46,1588,9
1096,893.5,709,46,1694,8
1097,255.8598726,73.63619333,47,2669,2
1098,395,286.5,47,1694,5
1099,504,323,47,1771,6
1100,566,28,47,1789,3
1101,827,178,47,1739,4
1102,877.9550085,754.5050934,47,2356,9
1103,891.5,709,47,1694,8
1104,396,287,48,1739,5
1105,501,326,48,1513,6
1106,566,28,48,1789,3
1107,827,176.5,48,1694,4
1108,861.994575,758.0241109,48,1659,9
1109,880.4956772,703.0115274,48,1735,8
1110,564,29,49,1789,3
1111,803,758,49,609,9
1112,827,175.5,49,1694,4
1113,845.8692098,748.8537693,49,1101,8
1114,564,29,50,1789,0
1115,579,552.5,50,1410,0
1116,617.7109544,723.2814534,50,1844,0
1117,653,607,50,1649,0
1118,708,487,50,1739,0
1119,742.5,941,50,1694,0
1120,823.5,175,50,1694,0
1091,394,286,46,1649,5
1092,503.5,324,46,1556,6
1093,566,28,46,1789,3
1094,827,177.5,46,1694,4
1095,886.3847607,763.6152393,46,1588,9
1096,893.5,709,46,1694,8
